음식점ID,인허가일자,소재지면적,음식점명
3000000-101-1984-00997,1984-11-12,,동영숯불갈비
3000000-101-1984-01220,1984-05-11,16.49,동네별장
3000000-101-1984-01227,1984-11-27,,고바우식당
3000000-101-1984-01232,1984-05-30,93.1,옛마을
3000000-101-1984-01315,1984-04-23,,나주집
3000000-101-1984-01386,1984-01-04,47.67,은신처 종로점
3000000-101-1984-01667,1984-05-19,451.81,평창동 북악정
3000000-101-1984-01677,1984-11-01,,흥부네 사랑채
3000000-101-1984-01701,1984-03-16,,황금정
3000000-101-1984-01781,1984-11-07,22.59,만도리 신라스테이 광화문
3000000-101-1984-01789,1984-05-30,,태평정
3000000-101-1984-01815,1984-05-09,,진원조닭집
3000000-101-1984-01853,1984-10-12,,Papas(파파스)
3000000-101-1984-01913,1984-05-16,20.53,나무
3000000-101-1984-01950,1984-11-10,,종로뚝배기
3000000-101-1984-01979,1984-05-30,56.2,주식회사 뼈탄집
3000000-101-1984-02000,1984-07-21,95.4,경복궁 남도식탁
3000000-101-1984-02001,1984-11-26,33.0,꼬꼬방
3000000-101-1984-02198,1984-05-24,,천석식당
3000000-101-1984-03139,1984-10-19,,중국관
3000000-101-1984-03198,1984-10-23,75.33,쿠캔비어2
3000000-101-1984-03219,1984-03-10,56.3,레이어드 안국 (LAYERED)
3000000-101-1984-03354,1984-04-09,,동경
3000000-101-1984-03457,1984-11-26,,동서갈비
3000000-101-1984-03809,1984-08-17,,태양의길목
3000000-101-1984-03956,1984-02-01,,철길왕갈비살
3000000-101-1984-04001,1984-08-18,,에스라인
3000000-101-1984-04126,1984-05-07,,원조쌈밥집
3000000-101-1984-04160,1984-05-09,,원주
3000000-101-1984-04227,1984-08-01,130.88,신호
3000000-101-1984-04285,1984-04-09,36.21,왕벌집
3000000-101-1984-04423,1984-03-02,,쌍영총
3000000-101-1984-04443,1984-06-23,53.19,송백
3000000-101-1984-04446,1984-12-20,,또또와
3000000-101-1984-04499,1984-06-20,,등촌샤브칼국수
3000000-101-1984-04502,1984-12-17,90.06,영구비어
3000000-101-1984-04509,1984-02-23,,하얀집
3000000-101-1984-04664,1984-05-09,84.26,제주바당
3000000-101-1984-04672,1984-10-23,,스콜리온
3000000-101-1984-04720,1984-12-20,,종각 상구비어
3000000-101-1984-04748,1984-06-18,,차사랑
3000000-101-1984-04920,1984-01-10,,아까시
3000000-101-1984-05623,1984-06-12,,참치하우스
3000000-101-1984-05905,1984-02-16,90.63,황해플라워 까페
3000000-101-1984-05922,1984-03-31,,명동칼국수
3000000-101-1984-06068,1984-05-25,,무지개
3000000-101-1984-06263,1984-07-19,47.15,더 진국 광화문역 지점
3000000-101-1984-06576,1984-03-30,62.77,일월육일 종각점
3000000-101-1984-06651,1984-05-30,36.2,풍황
3000000-101-1984-06668,1984-09-18,,참새집
3000000-101-1984-06686,1984-02-29,,강효
3000000-101-1984-06711,1984-02-22,,시민식당
3000000-101-1985-00291,1985-12-16,234.66,김가네대청마루
3000000-101-1985-00479,1985-04-10,52.14,정통삼계탕
3000000-101-1985-00552,1985-04-29,,더벤티 종로학원가점
3000000-101-1985-00590,1985-04-29,55.0,용두동 쭈꾸미 닭갈비
3000000-101-1985-00832,1985-07-26,,옛날집
3000000-101-1985-00853,1985-10-16,,아이엠호프Ⅰ
3000000-101-1985-00934,1985-06-28,39.54,태양이네
3000000-101-1985-00944,1985-06-07,,정일품
3000000-101-1985-00948,1985-06-07,,장수삼계탕
3000000-101-1985-01182,1985-08-12,19.5,청하 식당
3000000-101-1985-01304,1985-02-04,122.43,제주본가
3000000-101-1985-01366,1985-12-16,48.78,카페 오쁘띠베르
3000000-101-1985-01458,1985-01-25,,장수식당
3000000-101-1985-01492,1985-08-08,,전주식당
3000000-101-1985-01572,1985-08-28,,페리카나
3000000-101-1985-01659,1985-08-24,13.6,티씨(TC)종로3가 아카데미점
3000000-101-1985-01675,1985-06-24,31.35,코바코
3000000-101-1985-01758,1985-06-17,23.0,종로 전집
3000000-101-1985-01765,1985-02-09,58.54,장터 순대국
3000000-101-1985-01788,1985-05-22,,부산뽈데기
3000000-101-1985-01801,1985-07-04,34.04,종로 맹버칼(버섯칼국수) 종로구청점
3000000-101-1985-01852,1985-04-12,27.5,다솜
3000000-101-1985-01947,1985-03-22,29.8,명동 닭한마리 본점
3000000-101-1985-02013,1985-02-28,42.0,남매집
3000000-101-1985-03263,1985-04-17,,만땅
3000000-101-1985-03522,1985-11-25,42.88,인사동 본죽
3000000-101-1985-03539,1985-12-08,53.0,브람스
3000000-101-1985-03611,1985-01-31,,평화만들기
3000000-101-1985-03632,1985-10-11,52.94,털보네 해물탕 등갈비해물찜
3000000-101-1985-03814,1985-11-02,99.69,리향
3000000-101-1985-03853,1985-06-17,,조이
3000000-101-1985-03890,1985-01-11,,종로양꼬치
3000000-101-1985-04059,1985-08-09,,한우공방
3000000-101-1985-04144,1985-12-23,242.28,핏제리아 오
3000000-101-1985-04174,1985-05-03,11.15,브루다 안국
3000000-101-1985-04441,1985-05-11,,무아타
3000000-101-1985-04678,1985-08-03,,궁전
3000000-101-1985-04680,1985-08-09,59.91,삼각산
3000000-101-1985-04824,1985-11-22,,명륜포차
3000000-101-1985-04921,1985-12-20,,가배
3000000-101-1985-05664,1985-04-26,84.29,박가네
3000000-101-1985-05673,1985-11-08,,남산정
3000000-101-1985-05677,1985-09-30,39.38,명동칼국수
3000000-101-1985-05943,1985-11-08,,삼해집
3000000-101-1985-06130,1985-06-20,,광안리
3000000-101-1985-06181,1985-09-25,14.0,동대문 종합분식
3000000-101-1985-06207,1985-11-13,76.2,무교삼계탕
3000000-101-1985-06352,1985-07-12,,우리집
3000000-101-1985-06371,1985-03-22,,본죽(종로3가점)
3000000-101-1985-06372,1985-04-08,,뚝배기 양평해장국
3000000-101-1985-06429,1985-06-05,,국빈
3000000-101-1985-06515,1985-01-12,74.59,산적
3000000-101-1985-06526,1985-12-27,36.08,안주마을
3000000-101-1985-06547,1985-05-09,60.72,림스치킨 혜화점
3000000-101-1985-06663,1985-09-02,,코알라치킨센타
3000000-101-1985-06889,1985-11-07,,귀빈
3000000-101-1985-06936,1985-06-01,25.5,낭만낙지
3000000-101-1985-06982,1985-01-11,28.75,원호와 초밥
3000000-101-1985-08040,1985-06-24,,학림
3000000-101-1985-08119,1985-11-16,,바다회집
3000000-101-1985-08194,1985-03-03,,종로
3000000-101-1985-11013,1985-09-02,,가을
3000000-101-1985-11997,1985-04-15,538.2,을지면옥
3000000-101-1986-00343,1986-08-18,,꽃피는 산골
3000000-101-1986-00389,1986-02-26,,왕벌집
3000000-101-1986-00405,1986-01-17,,진미식당
3000000-101-1986-00539,1986-09-27,,백마강
3000000-101-1986-00559,1986-09-27,88.07,해몽
3000000-101-1986-00576,1986-05-06,,부산식당
3000000-101-1986-00715,1986-11-17,77.46,온6.5
3000000-101-1986-00763,1986-11-11,111.25,산채향
3000000-101-1986-00798,1986-06-21,,소문난집
3000000-101-1986-00803,1986-08-16,,웃음의 식당
3000000-101-1986-00822,1986-07-05,,둘리분식
3000000-101-1986-00872,1986-06-09,,초당
3000000-101-1986-00922,1986-03-19,18.81,목원(일반음식점)
3000000-101-1986-00932,1986-05-31,20.0,아진당 떡상점
3000000-101-1986-00940,1986-04-28,74.75,경복궁미역
3000000-101-1986-01162,1986-10-02,,두꺼비식당
3000000-101-1986-01204,1986-08-25,67.55,향미정
3000000-101-1986-01216,1986-06-24,,취야벌
3000000-101-1986-01316,1986-05-03,,서울원조아구찜
3000000-101-1986-01330,1986-08-20,,한일
3000000-101-1986-01331,1986-10-16,,부촌
3000000-101-1986-01409,1986-07-12,113.4,백제 고기집
3000000-101-1986-01430,1986-08-11,,옛날순대국
3000000-101-1986-01525,1986-02-18,,송죽헌
3000000-101-1986-01545,1986-07-19,,서순금류복요리전문점
3000000-101-1986-01652,1986-03-10,50.0,삼일전집 2호점
3000000-101-1986-01694,1986-10-27,,수연
3000000-101-1986-01846,1986-10-15,511.18,종삼육
3000000-101-1986-01886,1986-09-06,47.16,거구장
3000000-101-1986-01929,1986-10-24,,원소닭
3000000-101-1986-01938,1986-03-11,,삼천포집
3000000-101-1986-01956,1986-06-03,,예지집
3000000-101-1986-03525,1986-04-16,105.78,YMCA레스토랑
3000000-101-1986-03563,1986-08-29,,부산 아구찜
3000000-101-1986-03576,1986-04-03,,새문안분식
3000000-101-1986-03650,1986-07-29,,오가다 종로2가 인사동점
3000000-101-1986-03676,1986-03-29,,래래향
3000000-101-1986-03729,1986-08-27,46.23,인산인해
3000000-101-1986-03915,1986-07-30,,돈천동식당
3000000-101-1986-03953,1986-03-22,,박석고개
3000000-101-1986-03979,1986-05-07,,시골
3000000-101-1986-04020,1986-08-05,61.32,태말녀감자탕
3000000-101-1986-04036,1986-11-29,,가랑
3000000-101-1986-04042,1986-04-08,200.0,금문도
3000000-101-1986-04156,1986-09-05,206.65,산동
3000000-101-1986-04229,1986-11-28,,천지
3000000-101-1986-04245,1986-05-30,145.5,종로삼계탕
3000000-101-1986-04281,1986-07-04,,무림갈비
3000000-101-1986-04292,1986-04-18,39.86,계동치킨
3000000-101-1986-04295,1986-11-20,30.73,이디야 커피(창덕궁점)
3000000-101-1986-04310,1986-09-02,102.9,별미한식부페
3000000-101-1986-04415,1986-11-27,,작은프랑스 꺄브
3000000-101-1986-04544,1986-03-31,,양지바지
3000000-101-1986-04644,1986-07-01,74.51,노랑통닭 대학로점
3000000-101-1986-04738,1986-06-27,109.09,송암온반
3000000-101-1986-04762,1986-11-04,39.75,혜화돌쇠아저씨
3000000-101-1986-04809,1986-08-26,187.22,아리랑가든
3000000-101-1986-04842,1986-06-12,,호기심
3000000-101-1986-05626,1986-09-06,,송백
3000000-101-1986-05636,1986-12-01,119.55,인사동 쌈지
3000000-101-1986-05681,1986-07-04,,대판
3000000-101-1986-05939,1986-12-09,,와이분식
3000000-101-1986-06244,1986-12-18,,서울 잔치집
3000000-101-1986-06316,1986-01-08,,하이트 호프광장
3000000-101-1986-06323,1986-10-07,99.98,신안촌
3000000-101-1986-06329,1986-10-13,38.5,산꼼장어 & 조개구이
3000000-101-1986-06341,1986-11-06,,동대문지하코너
3000000-101-1986-06382,1986-05-22,31.5,나주식당
3000000-101-1986-06492,1986-10-16,,꽁스 치킨
3000000-101-1986-06662,1986-11-05,,공원분식
3000000-101-1986-06696,1986-12-11,,뱅크
3000000-101-1986-06821,1986-08-02,26.92,둘둘치킨
